	Ao_Oe	Ao_St	Ao_Li	Ao_Py	Ao_Ai	Ao_Mi	Ao_Pi	Bf_En	Bf_Gi	Bf_Mi	Bf_Lv	Bf_Hd	Pf_Pr	Pf_Co	Pf_Ph1	Pf_Ph2	Pf_Ph3	Pf_Es	Pf_He1	Pf_He2	Pf_In1	Pf_In2	Pf_In3	Sp_Ph	Sp_Es	Sp_St1	Sp_St2	Sp_St3	Sp_St4	Sp_In1	Sp_In2	Sp_In3	Pd_Sto	Pd_Mo	Pd_Tr1	Pd_Es	Pd_Tr2	Pd_Std	Pd_Tr3	Pd_Mi	Pd_Tr4	Pd_Hi
Pf_In1	0.001587057	0	0.01818852	0	0.004829137	0.003090992	0	0	0	0.01522635	0.02929395	0.011063246	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016999289	0.041960014	0.051238117	0.046266749	0	0	0	0	0	0	0	0.015831302	0.019882584	0.006859463	0.013495056	0.005219937	0
Pf_In2	0	0	0	0.010064314	0.008822754	0.006391536	0	0	0	0.005219015	0	0.008603731	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01952697	0.036983176	0.050086519	0.045372696	0	0	0	0	0	0	0	0.00660569	0.012273525	0.003424386	0.003919573	0	0
Pf_In3	0.022920542	0.03823203	0	0.00972721	0.007850592	0.006133705	0	0	0.00842519	0.00819937	0	0.028449642	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018013443	0.029777858	0.04159312	0.032758863	0	0	0	0	0	0.005302105	0.00244886	0.002644569	0.006417582	0	0	0	0
Sp_Ph	0	0	0	0	0	0	0	0	0	0.014624769	0	0	0	0.029126043	0.039533547	0.040388654	0.040825439	0	0	0	0	0	0.02298968	0	0	0	0	0	0	0	0	0	0.056268098	0.059781922	0.017794634	0.00541644	0	0	0	0	0	0
Sp_Es	0.03326962	0.055879018	0	0	0	0	0	0.040510326	0.052421911	0	0	0.002763957	0.042792428	0	0	0	0.039304334	0.024845621	0	0	0	0.039731456	0.048246537	0	0	0	0	0	0	0	0	0	0.047890396	0.023287637	0.041987143	0.054534384	0	0	0	0	0	0
Sp_St1	0	0	0.063101428	0	0	0	0	0	0	0.03030095	0.036302119	0	0	0	0	0	0	0	0.060402991	0.031565471	0.007734988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032777262	0.041980179	0.022692031	0.014653913	0.009724105	0
Sp_St2	0	0	0.029147993	0	0	0	0	0	0	0.021323827	0.027394621	0	0	0	0	0	0	0	0.060955556	0.018470763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038914596	0.050640745	0.029245034	0.022470287	0.009045046	0.002610185
Sp_St3	0.01722602	0.002889958	0.010276136	0	0	0	0	0	0	0.013581849	0.034282879	0	0	0	0	0	0	0	0.009345293	0.025877262	0.018442128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009669128	0.013700259	0.00641715	0.010785036	0	0.006129294
Sp_St4	0.012221556	0	0.025489792	0	0	0	0	0	0	0.01988481	0.055105932	0	0	0.01347592	0	0	0	0	0.005287557	0.030797462	0.007532448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006690936	0.012843968	0.003302581	0.011194357	0.00253383	0.011429901
Sp_In1	0	0	0	0.053064698	0.051234911	0.04929831	0.041535111	0.009638231	0.009606597	0	0	0.001923785	0.013892548	0	0.005728178	0.003165728	0	0.037550659	0	0	0	0.039909961	0.042465776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015521485	0.016016165	0.028432777	0.030976309
Sp_In2	0	0	0	0.045913236	0.045100441	0.042553496	0.040375294	0.009423237	0.0425846	0	0	0.010646752	0.042898574	0	0.02357874	0.015964108	0	0.038133273	0	0	0	0.039541026	0.043396376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012813609	0.014559845	0.030085729	0.027732066
Sp_In3	0	0	0	0	0.026428642	0.032587489	0.037153339	0.002799067	0.036125266	0	0	0.011123929	0.042402574	0	0.017797094	0.01273307	0	0.021707301	0	0	0	0.015731031	0.038514088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006414706	0.01095898	0.027279514	0.032468817
Pd_Sto	0	0	0	0	0	0	0	0.034484448	0.012173983	0	0	0	0	0	0.028320463	0.029068558	0.028063856	0	0	0	0	0	0.017347431	0.048334213	0.048334206	0	0	0	0	0.01578282	0.045578526	0.040647678	0	0	0	0	0	0	0	0	0	0
Pd_Mo	0	0	0	0.017762747	0.010984001	0.010822166	0.002912439	0	0.021608796	0	0	0	0.010323982	0	0	0.006240342	0.002885915	0.002968013	0	0	0	0.006225646	0.013749558	0.045344486	0.047096739	0	0	0	0	0.034735321	0.04572179	0.035925406	0	0	0	0	0	0	0	0	0	0
Pd_Tr1	0.006676879	0.0111354	0	0.006200284	0	0	0.002474698	0.011659489	0	0.004269315	0	0.020248706	0.013877755	0	0.009388769	0.022000454	0.023917823	0.012115554	0	0	0	0.015560234	0.032060348	0.046814386	0.048212534	0	0	0	0	0.020841528	0.043865314	0.034870685	0	0	0	0	0	0	0	0	0	0
Pd_Es	0	0	0	0.01158895	0.011180171	0.010910116	0.005924662	0	0	0.001888375	0	0.008483267	0.015857594	0	0	0.003052481	0	0.006044936	0	0	0	0.012439177	0.03038228	0.029771594	0.035362146	0	0	0	0	0.025481587	0.043902165	0.036365114	0	0	0	0	0	0	0	0	0	0
Pd_Tr2	0	0	0.023633767	0	0	0	0	0	0	0.014611553	0.032543398	0	0	0	0	0	0	0	0.039263984	0.010520584	0	0	0	0	0	0.051480617	0.049731683	0.012675534	0.00543765	0	0	0	0	0	0	0	0	0	0	0	0	0
Pd_Std	0	0	0.042750441	0	0	0	0	0	0	0.015549434	0.033951739	0	0	0	0	0	0	0	0.041618754	0.028469793	0.012165293	0	0	0	0	0.054190007	0.052292996	0.01270276	0.001804248	0	0	0	0	0	0	0	0	0	0	0	0	0
Pd_Tr3	0	0	0.027756198	0	0	0	0	0	0	0.015226392	0.031935078	0	0	0	0	0	0	0	0.041843179	0.002991828	0	0	0	0	0	0.052127676	0.051305527	0.004114584	0.00528553	0	0	0	0	0	0	0	0	0	0	0	0	0
Pd_Mi	0	0	0.027335338	0	0	0	0	0	0	0.014592424	0.020939921	0.002896265	0	0	0	0	0	0	0.028064776	0.005114159	0.004478419	0	0	0	0	0.043413172	0.037479689	0.004309258	0.00895231	0	0	0	0	0	0	0	0	0	0	0	0	0
Pd_Tr4	0.007955152	0	0	0	0	0	0	0	0	0	0	0	0.012960665	0	0.002811458	0	0	0.00677897	0	0	0	0	0.025381307	0.04120226	0.034844439	0	0	0	0.007659938	0.011986263	0.034971429	0.024804717	0	0	0	0	0	0	0	0	0	0
Pd_Hi	0	0	0	0.016846792	0.011259162	0.013527012	0.005966451	0	0.00203552	0.004029866	0	0.012976967	0.009662914	0	0.005762313	0.003054782	0	0.02132411	0	0	0	0.018665114	0.023768448	0.030372148	0.029100716	0	0	0	0	0.045473957	0.044984952	0.04442433	0	0	0	0	0	0	0	0	0	0
